Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
Mak kutoh kae si ko sebut no v da si kutoh ne Edi me kane;;NULL;;;;;;
Mak kutoh lingkungan ku v begende Hamin model ne v;;NULL;;;;;;
hal janda pirang ee gat lemes Ken ye sesekali da gat taping ken ye;;NULL;;;;;;
kabakh ne kadang si let baik see kadNg gt let sekel bongkang eee;;NULL;;;;;;
kae me gat mecekhok ye apemen mengket akal di masak cekhok ye;;NULL;;;;;;
hal begedi me kae v sah ulng gt dak sah eee hayalken lamunken ye;;NULL;;;;;;
walo v tukang cinte ku bamu telakhang sanggup ku tangguh dose;;NULL;;;;;;
ne sayang pekhadaen ku dak ku umpame Ken Kate kae gat diekg nakhi;;NULL;;;;;;
ku babe ni Adi me bekas kite jumpe 2 alak eee khuy khut kite adi;;NULL;;;;;;
aku nde Ende me biak ne buen Made let bang ku mlet mekhakhte;;NULL;;;;;;
tong kite mude nde bue plim ibadah kitenakhen me Allah swt;;NULL;;;;;;
kae v si terjadi kisah cinte ku kene tadingken kakhenne kemiskinen ku;;NULL;;;;;;
dak sanggup ye khut aku gedi me kadang de misal ne Edi v da nu;;Story/narrative;;;;;;
pekhadaen ku dak ku umpaken Kate kae gat diakh nakhi kite jumpe;;History;;;;;;
begedi me kadang de let ulh kite nu brooi dg gedi made ne;;Culture/Tourism;;;;;;
Aku nde Ende me biak ne buenen mlot timbang si lot ne buen sekhik timbang si senang ne;;Culture/Tourism;;;;;;
Jujukh plim Kao bangku ulang Mahan sui ate ku de cinte kate Ken cinte ulang setengah cinte;;NULL;;;;;;
Maso Kao bimbang ulng Kao sangsi ni Bagas ate ku dak nae teganti aku cinte bamu;;Instructions;;;;;;
cube sebut ken kae kae plin harapen pe waktu buet medem;;NULL;;;;;;
Kune me ningku nggi lupe ken dikhi mu Kao me si ku sayangi mlot sukhung bangku;;NULL;;;;;;
kae plin hal si mahan kamu sayang be pasangen mu sampek sendah nde sehingge kamu biakh pasangen ku laus kamu akhi;;NULL;;;;;;
cube sebut ken kae kae plin si mahan kamu gat nemu tertawa waktu khut imbang mu;;NULL;;;;;;
cube cekhite ken pengalaman si paling terburuk yang pekhah kamu alami;;NULL;;;;;;
kune cakhe ne kamu nemu mencapai suatu keputusan ni kas bue jeme;;NULL;;;;;;
jelas ken tentang hewan kesukaen mu si let ni lingkungen mu;;NULL;;;;;;
cekhite ken kune kas tekhbaik untuk kas mu tading ni suatu saat pagi;;NULL;;;;;;
kune cakhe ne kamu gat nemu pokus ni kas kalak tekhem;;NULL;;;;;;
cekhite ken hal kae plin si nemu mahan kamu nadi pekhak;;NULL;;;;;;
cekhite ken tentang geluh atau pe karikh sekalak tokoh bersejakhah tekhmasuk kontribusi dan kae dampak ne pade sejakhah kite nde;;History;;;;;;
te misal ne let memungkin ken kamu ni khe ken kesempatan keliling dunie kune pekhasaen mu;;NULL;;;;;;
kune cakhe mu atau pe kune pendapat mu tentang keadaen keuangen kas mu mebahan;;NULL;;;;;;
cekhite ken tentang keadaan mu ni pige tahun ke depan pagi;;NULL;;;;;;
kontribusi kae plin si dapet kamu tawakh ken untuk lingkungen ni sekitakh mu;;NULL;;;;;;
te misal ne let nemu kamu cekhok ken hal kae plin si akan kamu cekhok ken be kalak si dauh kamu akho;;NULL;;;;;;
kune cakhe mu menenangken dikhi ni saat kamu bue masalah ni khumah;;NULL;;;;;;
kae kae plin si get ate mu ni saat kamu jengeng;;NULL;;;;;;
cube sebut ken kae kae plin si dapet mahan kamu senang;;NULL;;;;;;
kae sebab ne let gukhu si biakh sebagien blin khut murid ne;;NULL;;;;;;
cekhite ken tentang konten kreator favorit mu;;NULL;;;;;;
Gende plim nu Ende ku bahan gende ee ulang gat kae kae nak emang gedne kin go;;NULL;;;;;;
menukhut mu kae kae plin tantangen ni geluh mu sendah nde;;NULL;;;;;;
cube jelas ken kune gaye berpakain mu sendikhi si nyaman kamu pakek ni dape pe;;NULL;;;;;;
hal hal kae plin si kamu hakhap ken enggo kamu toh saat kamu tong mude;;NULL;;;;;;
kae plin pertimbangen mu saat memilih kas mangan mu;;NULL;;;;;;
cekhite ken pengalamen si paling berkesan atau pe bermakna si kamu khase ken saat berinteraksi khut kalak dakhi budaya atau budaya lain;;Story/narrative;;;;;;
cekhite ken kekhajinen atau dagangen tradisional si let ni daekhah mu tading;;Culture/Tourism;;;;;;
cekhite ken tentang kas mu si pekhah kamu kunjungi si memiliki cekhite sejakhah atau pe tradisi budaya si paling bayak;;Culture/Tourism;;;;;;
Mohon ijin nde bos nak gende Hamin Nemu si ku jawab ulang gat kekae bos;;NULL;;;;;;
kae kae plin si nangat kamu capai ni bagas geluh mu;;NULL;;;;;;
kae sebab ne kalak gat nemu sedih dalam menghadapi masalah;;NULL;;;;;;
misal ne kamu nading ken tibe tibe bongi nde, kae kae plin si menyesal kamu khase ken si mange kamu sampaiken be kalak habis edi kune cakhe ne kamu tong menyimpan se;;NULL;;;;;;
hal si tuhu ne mangan minum ape en tule let cewek montok ee kan;;NULL;;;;;;
karakter ku begedi me mebelin just kite tampan tule pokok ne;;NULL;;;;;;
Mak kutoh gedi aku v bingung si ko khe Ken no kune di gedi;;NULL;;;;;;
menolong khekhut gedi nge Hamin si Nemu kite mekhase habat;;NULL;;;;;;
si pot ne aku da libur khut khamah berduaaen pulak di ni hotel ee kn;;NULL;;;;;;
aku Nemu melakuken hal si malet kene sangke Nemu ku bahani e Edi gat mekhase hebat aku;;NULL;;;;;;
kesan ku ulng gat manage kae v gat mate aplikasi ne Ende nge amin;;NULL;;;;;;
saat aku kubukh Bagas pedalanen ee bue kudah bujan mejile medecek;;NULL;;;;;;
saat kite sedang selow selow ne khoh ye adih akhi khisubi kite;;NULL;;;;;;
kesan ku me aplikasi Ende ulang gat eror malet Nemu tukakh point ne kakhene kami sebage mahasiswa bage Se tebantu citok;;NULL;;;;;;
ni daekhah ku si get ningku bue janda piraang ne khut gadis ne;;NULL;;;;;;
adat istiadat ni daekhah ku lumayan unik pakek pakek jinto kude Kalak lain malet gedi Edi Mahan Se get ate ku ngidah se;;NULL;;;;;;
tanggung jawab laki khe belanje me bekhu kite ee ulang kite sakiti ye;;NULL;;;;;;
hak kite me bekhu khe ye uang belanje kgut mangan gedi nge;;NULL;;;;;;
bekhu adalah tanggung jawab lakine te nak laku Ndak me tanggung jawab Ndak wayang dose ne mbue ne di;;NULL;;;;;;
hak bekhu me suami khe laki eee jatah nakhen balik bahan akhi;;NULL;;;;;;
kakhenne iye v mesui Kao ne maka ne ye v lung ken ne cekhok ne;;NULL;;;;;;
kite ato v khumah ne june de cukup sen kite ee da tuko ye gt;;NULL;;;;;;
kite sebage bekhu pe let gak te hoye kewajiben plin amin lot tetapi hak te pe lot ni Bagas pernikahen e;;NULL;;;;;;
perang dingin ee me Mak kutoh da si kutoh ne Bogoh kukap meaning aku;;NULL;;;;;;
Mak kutoh aku sekolah v Mak kutoh tentang Edi kae sklh sklh plim;;NULL;;;;;;
si petame kite mendapetken dose si kedue malet gune ne kakhne Edi mekhugi Ken kite sesame makhluk tuhan;;NULL;;;;;;
kakhenne let sifat jengkel ne sifat si dak get ninte ngidah se ee;;NULL;;;;;;
lebe let jeme e pe Ndak kite get ate ngidah se lebe kakhene pekhulahen ne jahat lebe kakhene macem dakhoh ne;;NULL;;;;;;
mlet kutoh da klk sendah kune kin dongak se wase melimpah mekhokok hamin;;NULL;;;;;;
malet kecocoken dalam membine Khumah tangge, let Kane kakhene salah satu ne selingkuh let pasangen ne lain;;NULL;;;;;;
begedi me de pot ye maju silahken de mlot kune kite bahan;;NULL;;;;;;
ape kin gat menang klk Indonesia klk bacakh kekhi ne gedi;;NULL;;;;;;
Alhamdulillah sehat plim semoge keluarga ku bahagie plim;;NULL;;;;;;
hakhus disiplin akan waktu, khambu-khambu lalu lintas, disiplin Bagas mengantkhi khut saling menghargai;;NULL;;;;;;
pot aku let anak ku tapi nde gr da bekhu me malet nge kune;;NULL;;;;;;
hewan singe eee me biakh kite kakhat ne tas indung eee no mago;;NULL;;;;;;
aku nangat mekhanak kakhene ni Bagas kite enggo me khumah tangge anak me sebuah anugrah ni Bagas khumah tangge te sebage pelengkap ni Bagas pernikahen kite e;;NULL;;;;;;
begedi me baik ye get nine nolong klk see ramah ye me Kalak ee;;NULL;;;;;;
mecekhok ne sopan Nemu menghargai Kalak lain hobi bantu Kalak lain khut Ndak sombong walo pe iye Kalak bayak;;NULL;;;;;;
Mak kutoh da Mak kae v si terjadi desip plim kite kekhi ne nde;;NULL;;;;;;
Nemu mengukhangi jumlah jeme atau jumlah penduduk ne khut Nemu mengukhangi padat ne ni jakarta;;NULL;;;;;;
aku bujang mejile side si paling manje, ni mate side aku Ndak wayang bacakh ne;;NULL;;;;;;
dabuh sesuatu ni tangan te let Kane tule ulang ato iye dang mecekhok pasti tadi iye gat mecekhok;;NULL;;;;;;
aku get ate ku me kopi kakhene si petame  mekhium jadi te go get ate te mekhium ne jadine get ate ate te minum se;;NULL;;;;;;
cakhene gakhami ni tepi-tepi dalan te nangat mangan ni kas Kalak;;NULL;;;;;;
bahanen ku pepelin Galang pul Edi nahan gat laus kuliah balik kuliah akhi bakhu bekhes-bekhes khumah;;NULL;;;;;;
yaedi dengan cakhe bekhsih-bekhsih Ken dikhi tekhlebih dahulu, mbekhesi khumah bekhsiap- siap untuk bekhangkat kekhja;;NULL;;;;;;
si mengganjal ni pikekhen ku kae gat Nemu Kalak bayak mendadak kae si bahani ne sehingge Nemu gat bayak;;NULL;;;;;;
kunci Kase bene yaedi kekhene meletaken ndape-ndape malet menentu kas ne soalne dape tandok Adi letaken malet gat bahan tule dape kas ne Adi bahan tule;;NULL;;;;;;
LGBT Edi sangat salah kakhne bertentangen khut agame kakhene tuhan mencipteken manusie nde berpasangan-pasangen jadi malet Nemu gat nak laki sesame nak laki ato pe sabik ne;;NULL;;;;;;
kakhene sesuatu e dapet menghasilken penjelasen si lebih jelas sehingge menentuken sebuah pilihan dapet menentuken hal si lebih mejile;;NULL;;;;;;
aku jeme ne pemele tapi untuk Kalak si bakhu ku tandai te jeme si enggo kutandai pasti toh ne aku tekhe kocak ne;;NULL;;;;;;
pengakhuh tekhebesakh yaedi ketike nukokh sebuah bakhang khut imbang-imbang jadine bakhang si ni tukokh e ni puji-puji sehingge Mahan aku tekhtakhik;;NULL;;;;;;
si get saling membantu, disiplin malet saling menjatuhken saling menghargai;;NULL;;;;;;
waktu pekhatame kali ku dapet aplikasi nde dengan cakhe atope impokhmasi dari dosen dengan cakhe mengikuti pelatihan langsung tentang aplikasi nde;;NULL;;;;;;
cakhe ku menangani permasalahan ato pe situasi si mahan setekhes Bagas penelitien ulang kelok su pikekhi gakhami kegiaten lain si Nemu Mahan kite lupe khut maslahah te;;NULL;;;;;;
aplikasi ikata nde aplikasi si menerjemahkan bahase daekhah me bahase Indonesia;;NULL;;;;;;
yaedi dengan cakhe menguneken aplikasi nde dengan sempukhne kakhene sebuah aplikasi de kite guneken dengan hal positif maka jadi megune;;NULL;;;;;;
let Maslah ku ni Bagas ke uangen cakhe ku mengatasi se mebahan kase let sen te Ndak mbue pikekhen pe;;NULL;;;;;;
lebe let kite tertarik me sesuatu e kakhene mejile ni mate te get ate te ngidah se taboh ni pandang;;NULL;;;;;;
giat belajakh kakhne te enggo kite lewati mase Edi Nesal kite pagi Ndak bersungguh-sungguh Bagas menempuh pendidiken;;NULL;;;;;;
bahan mbue peminat ne te enggo mbue Kalak makek Se pasti maju aplikasi nde , terkenal mbue Kalak makek se;;NULL;;;;;;
yaedi dengan cakhe ngakhami si ni ingin Ken kakhene menemukan hal si ni inginken sangat penting;;NULL;;;;;;
pengalamen mu gune ken ikata nde aku jawab survei ne pul Edi aku dapet koin, koin ne Nemu ni tukakh menjadi pulsa ato pe menjadi paket data;;NULL;;;;;;
mule tekhjadine pekhtekakhen ketika kite menghakhapken sesuatu dakhi seseorang sehingge si kite hakhapken malet sesuai jadi mahan kite kecewe dan dapet mahan khubah;;NULL;;;;;;
menukhut ku kualitas demokrasi ni Indonesia let kemajuen dakhi tahun ke tahun;;NULL;;;;;;
yaedi membantu Kalak dengan cakhe kite sendikhi Tampa hakhus mengungkit-ungkit si kite kheken;;NULL;;;;;;
yaedi melakuken sesuatu si sangup kite lakukan kakhene sesuatu si sangup kite lakukan e Nemu kite bahani sendikhi Tampa hakhus bantuen Kalak lain;;NULL;;;;;;
yaedi sewaktu SD die lot sebuah pengalamen ketike imbang SD menembak aku ungkapkene isi atene padahal Edi tong mase anak-anak;;NULL;;;;;;
yaedi dengan cakhe mahani si kite sangup pelin sehingge malet memerluken bantuen kalak;;NULL;;;;;;
aku jumpe khut imbang ku sewaktu ni pajak kadang-kadang jumpe tibe-tibe Tampa janjien;;NULL;;;;;;
yaedi dengan bantuen khang tue kakhene aku kukhang memahami ukhusen Edi sehingge bantuen khang tue dapet memudahken pemesanen;;NULL;;;;;;
yaedi ku dapet dari infokhmasi dari dosen tekhus khut mengikuti pelatihen tentang aplikasi nde sehingge tekhtakhik khut aplikasi nde;;NULL;;;;;;
yaedi sesuai si mahan aku patah semangat, sehingge si nangat ku cape malet jadi nae;;NULL;;;;;;
yaedi aku dapet nelengi dakhi kaine tekhlebih dahulu ketika sikel nukokh baju bahan kae si ni ingin Ken kakhene mengidah bahan e dapet menentuken kualitas bakhang;;NULL;;;;;;
yaedi si dapet ni tingkatken tentang pengunaan penambahen fitukh bakhu;;NULL;;;;;;
pkhoses bekekhja kakhene Tampa lot pekhoses kekhja maka malet lot hasilne;;NULL;;;;;;
yaedi ketike aku nukokh mas hal Edi ku khase sangat penting kakhene selain Nemu menabung hal Edi menjadi penting;;NULL;;;;;;
langkah-langkah pekhtame memilihi bakhang si ingin ni tukokh, selanjutne mepakuken pemesanen pembayakhen tekhus melakuken penekhime en bahang;;NULL;;;;;;
cakheku menyelesaikan masalah, pekhtame gakhami be pokok pekhmasalahene Kane Nemu ni tentuken titik tekhang pekhmasalahene sehingge Nemu ni selesaikan;;NULL;;;;;;
yaedi untuk mencapai sebuah tujuan, emang hakhus bekhsunguh- sungguh mahanise untuk mendapatken tujuen si kite hakhapken;;NULL;;;;;;
cakheku untuk ngakhami inspirasi ngakhami teman si lebih baik sehingge dalam pekhtemanen e dapet mekheken hal positif bagi kite;;NULL;;;;;;
tantangen si ku hadapi sendah adalah dikhi sendikhi ni dape melawan ke inginen si Ndak kite inginken;;NULL;;;;;;
kakhene ku khase menguneken aplikasi nde dapet menambah wawasan pelajakhen dan dapet Kane menambah pemasuken dengan cakhe mengumpulken poin;;NULL;;;;;;
pengalaman si ku dapet sangat bahagia kakhene ni Bagas aplikasi nde dapet menambah koin si Nemu ni tukakhken sesue kebutuhen;;NULL;;;;;;
untuk masalah lingkungen sendah sangat mempekhihatiken apelagi masalah nakhkoba jadi solusine hindakhi pekhtemanen si Ndak penting si Nemu mahan kite tekhjekhumus ke dalan Ndak mende;;NULL;;;;;;
yaedi dengan cakhe saling membantu sesame tentangge bekhmasakhakat;;NULL;;;;;;
yaedi dengan cakhe pekhtukakhen Hawe atope cuace;;NULL;;;;;;
pentingne mengetahui se supanye kite toh hal si tekhajdi dan kite dapet menghindakhine;;NULL;;;;;;
yaedi dapet mahan tekhkejut kakhene malet nyangke-nyangke kite tekhjadi;;NULL;;;;;;
Dengan cakhe menikmatise kakhene mencube hal bakhu dapet menambah pengalamen;;NULL;;;;;;
kakhene banyaknye pengakhuh okhang lain sehingge dapet mempengakhuhi;;NULL;;;;;;
kakhene Kalak di membentuk sebuah tim yang sangat kuat jadi sulit untuk ni takluken;;NULL;;;;;;
yaedi pembangunen ni Indonesia nde pekhekonomien masyakhakat;;NULL;;;;;;
Nemu kakhene bahase Indonesia menjadi bahase pemekhsatu;;NULL;;;;;;
kakhene hal yang malet sesue sehingge Mahan emosi;;NULL;;;;;;
hal si Mahan mengas ketike si ni bahani malet tekhidah;;NULL;;;;;;
kakhene si ni impiken tekhjadi sehingge Mahan bahagie;;NULL;;;;;;
hal si get ateku ketike ni khe sen lebih dan si mlet get ateku ketike ni pekhintah-pekhintah;;NULL;;;;;;
kedue okhang tue kakhene Kalak di Mahan aku bahagie ni dunia nde;;NULL;;;;;;
walahualam Edi sebuah kehendak tuhan si malet mu kite jengkali;;NULL;;;;;;
sangat bahagie kakhene sesuatu si kite impiken ahekhne kite dapet;;NULL;;;;;;
kakhene sebuah okhang tue adalah pemekhe kebahagien si wajib kite hokhmati;;NULL;;;;;;
yaedi dengan cakhe mengakapi khasene tekhlebih lebe, melihat bentuk khut kebekhaihene;;NULL;;;;;;
handphone kakhene ni dalem handphone nde selain dapet belajakh dapet kane menghasilken kebutuhen te;;NULL;;;;;;
sebagian jeme menganggap hewan buas e sebage hewan penjade si dapet melindungi ne;;NULL;;;;;;
sejakhah kehidupen ku sangat khumit ketike sekolah die nangat kalihen mendapetken juakhe sehingge hal kaepe pot ni lakukan;;NULL;;;;;;
yaedi dengan dukungan khang tue pantang menyekhah melakuken hal positif dan tekhus belajakh;;NULL;;;;;;
yaedi hal si ku dapet dakhi khang tue sepekhti kasih sayang sehingge dapet membangun motivasi untuk ngeluh;;NULL;;;;;;
katekite hal si Ndak tekhduge tekhjadi ni hadepen sehingge Mahan tekhkejut tekhus Mahan bene tujuen pekhtame si ni tuju;;NULL;;;;;;
yaedi tantangen pekh ekonomien ni mase ndube;;NULL;;;;;;
yaedi ke uangen si mencukupi kesehaten dan tekhutame imbang ngeluh ni waktu menua;;NULL;;;;;;
pekhubahan pekhgaulen ni masyakhakat tentang pekhbaukhen antakhe anak laki khut anak bekhu si makin bebas;;NULL;;;;;;
te sengkikhe ne aku malet tekhime masalah sosial namun untuk Kalak lain tekhime ne tanggapen yang hakhus ku lakukan biase ne menghargai pendapat Kalak lain eeee;;NULL;;;;;;
biase ne hal si Mahan aku nyesal biase ne manyangkut cekhok ku,saat aku mecekhok tapi cekhok ku Mahan Kalak sakit ate,Edi me khoh penyesalen ku pe,khase Mak taboh PE khoh ni Bagas ate ku;;NULL;;;;;;
aku penah mekhase kecewe ni saat aku hakhus putusken sebuah keputusen si hakhus metentangen pikekhen khut ate ku, ni dape Edi menyangkut Mase depan ku;;NULL;;;;;;
cekhite si biase ne ku bagiken me imbang atau pe me kekhabat ku saat aku ngumpul-ngumpul khut imbang ku biase ne menggosip, cekhite Mase lalu,cekhite Mase depan,menghayal tule mebue me Pokokne sampek-sampek aku PE lupe waktu;;Story/narrative;;;;;;
cekhite si mekesan atau pe memakne si penah ku miliki ni alam bebas nde biase ne mehubungen khut pengalamen ku waktu lajang-lajang jelajahi deleng;;Story/narrative;;;;;;
kite sebage manusie nde,hakhus belajakh dakhi sejakhah,kite Nemu jadiken sejakhah sebage panduen kite,kemudian kite Nemu belajakh dakhi pengalamen kite sendikhi,Kase Nemu melangkah Ndak salah dalan;;History;;;;;;
lot tetangge kami khumah ne mengket gang sempit,tapi suatu wakhi iye nuko motokh,bahkan gang khumah ne ge sempit kalihen , Bagas gang ne pe siat-siat buah motokh mengket amin;;History;;;;;;
te nangat aku mangan SE otamatis langsung ku tuko,tanpa mikekh megedang langsung tuko gelakh ne PE NGO nangat kalihen Mak kungin nahan selera ku;;NULL;;;;;;
cakhe Mahan dikhi bahagieee gampang amin cukup laus lajang-lajang mangan-mangan nyanyi-nyanyi karokeen medem istirahat Pokokne mebue kalihen meeee;;NULL;;;;;;
mungkin Kalak ee dang cut lot khase troma ne,Edi me salah satune Mahan Kalak eee gat mebiakh ye me sesyatu;;NULL;;;;;;
karene setiap kae kite bahan ni negara Ende me kite lot hukum ne;;NULL;;;;;;
te kite malet sependapat atau PE malet setuju akan sebuah hal otomatis kite Kate Ken Ndak,Mak mungkin gat malet PE kite setuju gat langsung kute Kate Ken uwe,kae si malet kite suke maso Kate Ken uwe kateken pelin ndak;;NULL;;;;;;
De aku jadi pemimpin hal si aku tekhapken me tekhuhen ku adalah tanggung jawab kakhene tanggung jawab luakh biase penting ne bagas kehidupen kite nde, de malet tanggung jawab mungkin kite nde nggo nate nate kite plin tanpe kite sadakhi;;NULL;;;;;;
Hal si dapet mempersatuken Indonesia di kite hakhus adil, disiplin, tanggung jawab ulang lupe, kejujukhen, sertekh saling tolong menolong sesame kite;;NULL;;;;;;
kondisi atau PE keaaden kas mebahan ku biase pelin,kadang Kalak si Mak penah idah ne ee terkesan ye,tapi te NGO setiap wakhi kite ato jadi biase pelin amin, mejile me Pokokne anggapenku,khami,bahagie,sedih, senang gembikhe kekhine hadiii;;NULL;;;;;;
date-date ni pekhoses intekhnet ni kelule mejile oleh opekhator ne,kite jeme biase nde ape me paham su masalah Edi,kadang kenin paham Nemu kenin sebut bangku;;NULL;;;;;;
behase menyatuken kite dengan kite hakhus berbahasa kite sendikhi, dengan kite memakek behase kite make semakin bersatu lah bahasa di, semakin berkembang bahasa di sehingge mebue kalak metih se bahase dii;;NULL;;;;;;
