Alas;Indo;Domain
keputusan Mahan dikhi menjadi mejile tule dakhi sebelum ne;;Story/narrative
Kane biyakh iye selingkuh khamah ne e Edi Mahan ne Pido ne;;Story/narrative
malat ku ingin sebab aku jemene mlt sanggup dauh dauh dakhi pasangen;;Story/narrative
menukhut ku let omset khut penghasilan tetapne;;Story/narrative
dengan cakhe lebih konsisten khut kae si ingin ku gapai;;Instructions
bahan khumah, bahan asuransi sedekah jariyah paling penting ne;;Story/narrative
penting kalihen, kakhene keluarge si paling metoh kae si kubutuh ken;;Culture/Tourism
dakhami be kae si Nemu si niselesaiken pul edi ulang bahan masalah;;Instructions
mempunyai keluarge bahagie mu mangan sewakhi telu kali Alhamdulillah;;Story/narrative
malet Selingkuh satu sama lain mebahan  demi keluarge malet bahani bahanen si nilarang agame;;Story/narrative
ye baik, ye manis, ye gendang, badan ne sispek, te khut anak khu hotel makhrom ne jage ne batasen ne, te khut aku ye soswit;;Story/narrative
keluarge paling utame, imbang si nolong aku Bagas kesusahen, saudakhe;;Story/narrative
Nemu aku menyelesaiken masalah khut bahagie khut sehat khut keluarge ku ende;;Story/narrative
mungkin ni pikhen ku ye hayak kukhang ne tapi Edi pasti nggo takdir ku bahan tuhan si mejilene;;Story/narrative
tong mu kumpul khut kelurga belin ku, ato Awe kedue khang tue;;Story/narrative
mengubah pola pikekh ku khut khang tue ku penting ne Wak ku;;Story/narrative
bagi ku kenangen si paling berkesan Wak khut bibik ku ni persatuken tule;;Story/narrative
mekhamah paling memaluken menukhut ku kakhene Edi perbuaten ni  larang tuhan te;;Story/narrative
masalah keluarge, khut aib, sebab Edi si hakhus ni jage kite sebeb te kite bahan Edi bahan tawanen benci tuhan ngidah se;;Story/narrative
malet nge aku siap kae si ukhesen mate mate kin no;;Story/narrative
te Nemu due due ne kae salah ne Nate ku Ket sen let keluarge masih khut aku;;Story/narrative
hubungen khut imbang penting khut pasangen lebih penting;;Story/narrative
let rahasiaku si malet mu ku cekhiteken ni hande;;Story/narrative
ulang sie sie Ken waktu mu waktu malet mu ni ulang;;Story/narrative
sip takhik napas inget ise kite lawan malet mu mengas mengas;;Story/narrative
te kite let pikekhen kae si pikekhi pikekhen kalak;;Story/narrative
lemah ne beribadah lemah ne imanku;;Story/narrative
melelo hp, tempuhi kae si Nemu ku tempuhi mek ku, belajakh, menyanyi;;Story/narrative
siap tugas kalah di kubahani nde Kase wakhi Senin let sen ku;;Story/narrative
alam nde si malet tercemar sungguh indah bage ni sokhge walaupe mange Penang aku ngidah soge;;Culture/Tourism
pulang telat waktu,malet mu luakh bebongi, malet mu begadang te Ndak penting;;Story/narrative
konsisten, semangat ye, kakjin iye, patuhine khang tue ne, medoe, sabakh;;Story/narrative
aku kan bakhu siap opekhasi  malet nge kene khe mangan bakso,go nangat su mangan bakso cebunik-bunik mangan se Kase dk toh Kalak di;;Story/narrative
lajang-lajang,mangan-mangan menggosip khut karokeen;;Story/narrative
kae cekhite ne geken,kae ke inginenne penuhi selagi mejile atau dak mekhugiken Kalak lain;;Instructions
tentang kegeluhen ku,baik senang khut susah ku,keluh kesah ku;;Story/narrative
baju sepotong,tangan ne balon dan pastine simple ulang bue cukhak;;Story/narrative
pakek pekhasaen,tulak awin bedikhi dan buah akhi akhus niat Bagas ate akhi;;Story/narrative
tong ni khe tuhan kesehatan keselamatan,dan khajeki;;Story/narrative
mebue sen,bue mangan,lajang-lajang dan tentune;;Story/narrative
peran manjadi kalak baik,khendah ate tentune suke menolong jeme;;Story/narrative
sedang susah kite pot membantu kite pot megeken keluhen kite;;Story/narrative
nangat kae v Nemu tetukokh sendikhi tanpa Mido sen khang tue akhi;;Story/narrative
si paling bahan aku mekahse hebat edi kepercayaan dikhiku;;Story/narrative
tentune menikmati suasane kas te lajang khut poto-poto untuk kenangen;;Culture/Tourism
de untuk mekhugiken iye lebih baik sebut me khang tue ne atau v keluarge ne;;Story/narrative
galang-galang sip ni khumah bantu khang tue mebahan Baik ni khumah atau v ni mpus;;Culture/Tourism
aplikasi ne sangat membantu massakhakat;;Story/narrative
Kase dak cemak lingkungen te atau ni sekeliling te,takhse nyaman de malet me sampah;;Story/narrative
ni tutung atau v sampah si organik Nemu bahan menjadi pupuk dan lebih memanfaat untuk masyakhakat;;Story/narrative
menurut sembakhangen,moncah su Ken sen,dan tentune mejile su bahan ne imbang ne;;Story/narrative
libukhen khut keluarge,khut imbang tentune menikmati alam alam Bagas pedalanen;;Culture/Tourism
dang maket pot su gat kene kie-kie atau kene ganggu;;Story/narrative
Lawe ne,pemandangen ne,ngumpul ngumpul khut imbang sambil karokeen;;Culture/Tourism
akhus dengan niat ate akhi,dan akhus pokus Bagas ate khut pikekhen;;Instructions
pasangan saling berniat membangun khumah tangge dan akan mengakhap ken kelakheen si buah hati;;Culture/Tourism
melayani dengen mejile,baik dakhi segi kae v selagi mejile;;Story/narrative
khak nafkah,batin, kasih sayang dan ni pelakuken sebaik mungkin;;Story/narrative
belajakh,menulis,membace Dan melelo de go Kase luakh main;;Story/narrative
memasak untuk keluarge,membantu khang tue jualae;;Story/narrative
dengan cakhe mendidik ne khe ye mangan Kase gekhe belin;;Instructions
dengan cakhe menabung be, sepuk Ken sen konsisten akan tujuen;;Instructions
hayak komplik tekhjadi malet mesecekhoen khut jabu;;Story/narrative
dengan cakhe ye khe ne narkoba secara geratis kase ketagihan pengguna ne;;Story/narrative
dengan cakhe berdagang memperdayaken Indonesia nde;;History
dengan cakhe mangan makanen siap saji bage Kentucky burger kentang dan sebagaine;;Instructions
malet get ate ku Bane kune ku bahan te Ndak get ate;;Story/narrative
hal penting bue, bage mek khut uang ku Edi penting menukhutlu dan khut ilmu pengetahuan;;Story/narrative
let citok masalah di perbelin hoye ni selesai Ken ne;;History
malet pake kukhang lebih antakhe satu same lain;;Story/narrative
dengen cakhe kite ajakh generasi sitekhuh berbahase daerah;;Culture/Tourism
dengan cakhe ulang ni lupeken, ulang ni robah robah;;Culture/Tourism
dengan cakhe mengganti program si malet Mende borantas koruptor e;;Story/narrative
hewan kae pe get ate ku te menghasilken sen;;Story/narrative
kakhene anak adalah generasi selanjutne kite iye nekhusken peninggalan kite;;Story/narrative
senat biase pelin malet sui su sebab aku nak Khu senat ne tong cut;;Story/narrative
ni Aceh tenggara nde kekhine pe penangan taboh malet Ndak taboh ni pekan kekhi ne taboh;;Story/narrative
malet bermuka due, taboh ajaken mecekhok, nyambung lah istilah ne;;Story/narrative
te nggo let ibu kota kae nange si pindah pindah mahan khecok pelin;;Culture/Tourism
nggo kewajiben ku sebab let Kane cIte cite cite ni gapai;;Story/narrative
buet medem be tepat waktu pul edi bersih Ken kas medem pul edi khidi gat laus;;Instructions
malet me kantong lupe aku dape letak pul edi bene;;Instructions
suke aku telukh sebab taboh bue tule protein ne;;Story/narrative
suke aku sayar sebab te Ndak pake sayur mangan malet taboh su;;Story/narrative
sekak mat Ken cekhok ne Kase sip ye malet bue cekhite;;Instructions
kakhene go terlalu emosi su kadang dak v malet kin pung ate atau malet me pekhasaen;;Story/narrative
niat Bagas ate akhi,dan pokus ke tugas dan akhus teliti;;Story/narrative
kakhene selisih paham/salah paham dan adu Babah malet pot ngalah buah v;;Story/narrative
cekhite Ken hal-hal si menakhik dan ajak untuk memantau adat istia;;Culture/Tourism
khajin letihen,pokus untuk tujuen dan akhus niat Bagas ate akhi;;Story/narrative
aku biakh khut nipe,alasenne kakhene nipe malet me kiding tetapi letun ne balap,kan aneh;;Story/narrative
Kase badan tekhase Taboh,khingan tentu ne sehat bahan ne badan te;;Story/narrative
ikuti atukhen si membabe kite si benakh ne dan ndauhi geluh si babe kite untuk mekhusak ken;;Instructions
laus me undangan de kene undan atau v laus me kas kede nakan;;Instructions
bekhes-bekhes khumah amin contoh ne bage nyapu khumah basuh pikhing dan masak untuk keluarge;;Story/narrative
kakhene tekadang pilihen kite malet pas sebagian pendapet kalak;;Story/narrative
tekhutame lot sen dan inginen Bagas ate akhi,buah akhi mungkin lebe hasuten imbang akhi;;Story/narrative
pas buke WhatsApp lot imbang bahan story' jadine penasakhen aku,ku tanyak dan ni jelas kenne;;Instructions
aplikasi ne sangat khami untuk menjawab petayaen-perayaen dan Nemu menghasik Ken pulsa atau v sen;;Story/narrative
gende v model ne go mejile baso nae ni ubah -ubah;;Story/narrative
cakhi tau,dan pokus untuk si kite gakhami ulang mudah menyekhah;;Instructions
adu Babah,emosi sambil emosi malet pot ngalah salah satu masing-masing;;Story/narrative
de niat membantu Kalak ulang kin akhlak balas imbalen;;Instructions
sebenakh ne de Nemu tong kite lakuken Sade kae si polu ni bantu klak lain;;Instructions
pekhalamen SD pas keluarga main nakhen melelo ni Jume kakhene denoh jume,SMP mekhamah buah sekolah,SMA pepelin cabut lompat pagakh,SMA lumayan baik Budi khajin belajakh;;Story/narrative
pas petame mengket kuliah Kebalen dan tibe-tibe Mido tumpangan iye khut balik khut aku;;Story/narrative
sendah kan lot cakhe mudah melalui online atau v aplikasi;;Instructions
de go Kase khusak layar ne yehh laus me kontor sukhuh jile i kalak konter;;Instructions
kakhene kidah cekhite imbang ku cadi ne penasakhen, ku pido gelakh aplikasi ne dan ni kirim;;Instructions
de aku jeme ne de go nangat barang atau v kae v die,de go nangat aku akhus ku dapet ken;;Story/narrative
buah tujuen,pendikhien akhus menetap ulang mudah mekhate cuping;;Story/narrative
dakhi bahan ne, dakhi mekhet ne dan dakhi bentuk nw;;Instructions
petanyaen ne bahan lebih bue dan petanyen ne hal-hal menakhik ulang petanyaen edi-edi pelin;;Story/narrative
pekerja kekhas / mebahan untuk mendapat Ken dan mencukupi kebutuhen kite;;Story/narrative
Kane get ate te makane kite tukokh de dak get ate malet kite tukokh;;Story/narrative
kunci petame ne lot sen te kedue bakhang ne Mende bakhu kite tukokh;;Instructions
cakhe ne degan kepala dingin dan hati dingi bakhu selesai masalah e v;;Instructions
cakhe ne kiat belajakh te khajin khut bersungguh sungguh Edi amin malet lebih;;Instructions
cakhe ne selengi jeme si kite contoh e baik ni contoh ape dak;;Story/narrative
sekhik ne malet mekhesen nanggat me baju khaye v malet sen kune laus me pajak v;;Story/narrative
Kane aplikasi Ende Mende bagi ku malanen ku pilih;;Story/narrative
tekhutama get ate ku de buah akhi Nemu menghasilkan Ken bangku;;Story/narrative
cemak ne likungan kute Mahan kite susah beradaptasi v;;Story/narrative
dahi hala hal si dak Nemu ni contoh Kase Nemu lingkungan te de baik;;Instructions
Kane kite toh inpormasi e penting ape dak ne;;Story/narrative
malet sen te buah akhi malet me baju khaye;;Story/narrative
luakh biase Kane Edi masyarakat mudah kae v;;Story/narrative
biyakh te akhus bekhati Kane capai tujuen tertentu;;Instructions
mejile nine pekhasat ku Nemu ni pakek dalam situasi kae v;;Story/narrative
si Nemu niajak mecekhite tebuke dak pebual jemene;;Story/narrative
hadapi plin dengan Selo Kase mudah bagi kite menyelesaikan se;;Story/narrative
emosi te buah akhi hadapi dengan senyuman plin ngo;;Story/narrative
Kane nanggat Mahan se kite pot nukoh se mahal v;;Story/narrative
cakhe ne khajin ulng pebual tekun mebahan;;Story/narrative
khajin belajakh ulng pebual sekhius dalam hal kae v;;Story/narrative
sangat menyenangkan bagi ku tapi de Kalak lain malet kutoh;;Story/narrative
mejile si Nemu di dukung sebab baik untuk jeme si tekhenm;;History
Nemu ni jadiken;;History
Kane malet pot lebih kukhang makan ne gat gedi jadi ne pekhubaten;;History
kane malet pot lebih kukhang ne senakhen mekhase datas;;Story/narrative
malet esebba malet Mende untuk kite wakhi pudi;;Story/narrative
tekhutama dikhi te be bakhu kite atau dikhi Kalak;;Story/narrative
menukhutku persatuan khut kesatuan Kase Nemu kite khut khut;;History
bahasa dapet menyatukan kite kakhene kite berbeda beda tapi tetap sebuah bahasa yaitu bahase Indonesia;;Culture/Tourism
menukhutku Nemu kakhene kite bue sumber daya alam,namun kite kukhang sumber daya manusia;;Culture/Tourism
kakhene kene tinjui,kene mengasi,kene leloken dan khang tue ku;;Story/narrative
kakhene kene tinjui kene lajak kiding ku dan kene leloken khang tue ku;;Story/narrative
si get ate ku main game si malet get ate ku pepelin khubat;;Story/narrative
Mase cut ku gate Khidi ni Lawe bulan khut Lawe alas;;Story/narrative
bahagia ate ku khut pepelin cikhem aku bahan ne;;Story/narrative
aku pe gedi nge sendah nde sinak malet nae no hp pembeli di pasar internasional kakhene iye;;Story/narrative
nai pah khut iye yoyo padi kedep ni dek kapal si ksu di panek ne y;;Instructions
doa ku cepat sembuh Peni gitukan sayang sekali jika anda ingin mengetahui bahasa Inggris malet buah;;Story/narrative
Bai yang akan kau lakukan pisah sambut tahun baru balas;;Story/narrative
khang tue ku,kagum khut kesabakhen ne,kasih syang ne;;Story/narrative
malet dapet THR dakhi kas mebahan akhi paling bukhuk;;Story/narrative
kakhene jase ne malet te bales khut kae v, termasuk gat mas buah deleng;;Story/narrative
tekhutame khase ne khut model ne bentuk ne;;Instructions
bende si get ate ku adalah hp sebab hp Nemu menghibukh kite lewat media sosial;;Story/narrative
mungkin kakhene cekhe menjelaskan ne,khut isi cekhite ne;;Story/narrative
mungkin cakhe gukhu ne mengajakh sangat membosan ken;;Story/narrative
Nemu bahagia Ken khang tue,khut Nemu babe khang tue me umroh;;Story/narrative
kakhene lebe sebagian jeme hobi khut  binatang binatang begedi;;Story/narrative
mungkin karya si go ni bahani tinggal ni tambah-tambah Sitok akhi atau ni poles-poles;;Story/narrative
mimpi ipen putok/ipen copot Kate khang alas de ipen Alik datas natak mungkin lot musibah anak khumah te,amit amit ya allah;;Story/narrative
geluh penuh bahagie telakhe dakhi khang tue yg penuh kasih sayang;;Story/narrative
niat Bagas ate akhi khut tekat Bagas ate akhi;;Story/narrative
dakhi khang tue penuh kasih syang,dan dapet laki dak kalah baik ne khut penyayang;;Story/narrative
khajin,tekun,ulang pantang menyekhah di sokhteken khut due;;Instructions
Mase SMA yang sangat bukhuk gekhage anak laki Gadi bulai khang tue;;Story/narrative
khate-khate untuk anak-ank akhus ni siap Ken;;Story/narrative
buet akhus tokh,de lajang ulang balik bongi jam 5 go  akhus Des ni khumah;;Culture/Tourism
penah buali khang tue demi anak laki gegakhe pepelin jangak;;Story/narrative
buke usahe cenek-cenek syukukh ne nangat mangan kae v malet Mido me khang tue;;Story/narrative
ni Bagas khumah anak si paling cut ne kene anggap padahal lot tong engek en,kakhene manje ku Kate khang tue;;Story/narrative
pekhunahen pekhasaen ku kadang mudah cikhem mudah senang mudah mengas;;Story/narrative
khami-khami khut kelukhge,ni khumah mangan khut-khut;;Story/narrative
cekhite tentang Mase lalu ku untuk pelajakhen wakhi pudi;;Story/narrative
pas sakit mebue Kalak si sayang ate Edi si paling mekesan bangku;;Culture/Tourism
di Mase lalau dakhi Mase lalu ukhok menyimpulkan dape si baik khut bukhuk ne;;Story/narrative
si pernah ku bahan Edi me  ndabuh kereta akhi Edi mele Kane aku pe;;Story/narrative
bekas si let dampak signifikan Edi me bages geluh  tentang ekonomi;;Story/narrative
si perlu kite pelajari bages sejarah Edi me korupsi ulang nange let ni Indonesia;;History
dampak pemerintah khut sistem politik ni kute malet jalan;;History
Ninik petame ni kute q Edi khut kakek Edi me iye tading pertama ni hano;;History
gambaran ni kute sebelum masuk kute q Edi indah khut asri;;History
Edi aku malet ketoh sebab aku mange pernah ikut masalah edi;;History
si ku etoh edi me tokoh kontroversial  adalah Jeki Jen aku ngidah SE iye pembari khut jeme;;History
pengalaman si terbaik  ketika aku lajang -lajang ni tempat wisata Edi me pemandangan yg sangat indah;;Culture/Tourism
si pasti menarik ketika aku lajang ni bekas wisat Edi me pemandangan;;Culture/Tourism
makanan si khas ni daerah Ende terkhusus kute cane Edi me manuk labarh;;Culture/Tourism
si perlu kite tahui Edi adat istiadat  khut suasane ni kute edi;;Culture/Tourism
tips ku ketika ni kute cane hayak wisata ni kamar;;Culture/Tourism
budaye q unik Edi Akibat si kusukai Edi me pemamana n;;Culture/Tourism
carere budaye mempengaruhi Edi karena bahasa ne;;Culture/Tourism
Edi tentu malet ketoh karene budaye q jarang di adK;;Culture/Tourism
bentuk khumah tradisional menurut arsitektur Edi me lokasi nya bagus;;Culture/Tourism
Edi malet ketoh sebab aku Ndak pernah make pakaian adat;;Culture/Tourism
tradisi ni daerah q Ende me ketike let kalak nikah khut senat ngo pasti naik kuda  Edi me ni sebut pemamanan;;Culture/Tourism
agama ni budaye edi me sangat keras untuk agama;;Culture/Tourism
malet ketoh sebab mange pernah aku peraktik;;Culture/Tourism
peran pendidikan khut pembelajaran Edi sangat bagus;;Culture/Tourism
perbedaan khut adat lain ngo pasti let karena setiap budaye pasti let perbedaan;;Culture/Tourism
